bikes,bike_stands,temp_c,feelslike_c,wind_kph,humidity,precip_mm,gust_kph,wind_degree,pressure_mb,cloud,uv
13,19,3.8,0.1,16.6,73.78,0.0,31.7,116,1035.6,89.1,0
13,18,4.5,0.4,20.4,68.65,0.003,37.4,110,1035.5,89.1,1
15,16,4.6,0.7,19.8,67.71,0.0,38.5,107,1035.2,77.3,1
16,15,4.6,0.4,21.4,65.67,0.0,38.5,100,1035.0,72.6,1
17,14,4.6,0.8,18.9,62.04,0.0,37.4,104,1034.5,74.2,0
18,14,4.0,-0.3,20.8,65.3,0.0,38.2,90,1034.5,78.1,0
13,19,3.8,-0.7,21.4,65.81,0.0,39.2,87,1035.0,89.0,0
10,21,3.5,-0.8,20.2,65.49,0.0,38.9,97,1034.6,76.8,0
10,22,3.8,-0.6,21.0,60.76,0.0,45.4,104,1035.2,89.0,0
10,21,3.1,-1.4,20.6,67.58,0.0,45.4,100,1035.2,89.1,0
8,24,3.4,-1.4,24.2,64.1,0.0,46.8,97,1035.1,89.0,0
8,23,3.2,-2.1,28.2,65.61,0.0,46.4,97,1035.0,87.8,0
10,22,3.1,-2.3,29.2,63.35,0.0,51.5,97,1034.6,91.7,0
10,22,3.5,-1.7,28.0,57.55,0.0,48.2,101,1034.6,89.0,0
9,22,3.7,-1.3,27.2,57.91,0.0,53.6,97,1034.3,93.0,0
9,22,3.7,-1.3,26.2,59.04,0.0,52.2,97,1034.0,93.0,0
9,22,3.8,-1.6,30.6,58.16,0.0,44.6,101,1034.1,89.0,0
9,22,3.8,-1.5,30.2,57.32,0.0,52.9,100,1034.2,89.0,0
9,22,3.3,-1.9,28.2,62.18,0.0,52.9,97,1033.6,89.1,0
11,21,3.8,-1.5,30.1,59.58,0.0,51.1,97,1033.5,89.0,0
15,16,3.8,-1.5,29.2,61.01,0.0,50.0,104,1034.0,89.0,0
13,19,3.9,-1.5,32.3,66.17,0.0,48.6,90,1034.1,87.8,0
12,19,3.7,-1.7,30.7,65.41,0.0,46.8,90,1034.3,87.8,0
15,16,4.0,-1.3,30.9,64.97,0.0,45.7,90,1034.6,87.7,0
18,14,4.1,-1.4,33.4,64.78,0.0,49.0,90,1035.0,75.4,0
18,14,4.7,-0.2,28.6,64.8,0.0,50.8,97,1034.7,81.0,1
20,11,4.8,0.2,25.8,63.45,0.0,51.1,92,1034.9,73.5,0
20,12,4.6,-0.4,30.2,65.6,0.0,48.6,80,1034.2,65.0,0
11,20,4.4,-0.7,29.5,66.67,0.0,44.6,80,1034.2,81.1,0
10,22,4.0,-1.1,28.9,69.78,0.0,41.4,80,1034.3,80.9,0
13,19,3.9,-1.0,25.5,70.69,0.0,37.8,73,1034.6,75.4,0
15,16,4.0,-0.9,27.0,70.13,0.0,38.9,70,1035.0,81.2,0
11,21,3.9,-1.5,31.4,70.45,0.0,40.0,70,1035.0,81.2,0
8,24,4.0,-1.0,27.8,70.46,0.0,40.3,77,1035.0,83.5,0
7,25,4.0,-0.6,24.1,73.81,0.0,46.4,80,1035.1,87.8,0
6,25,4.0,-1.1,28.9,74.41,0.0,41.8,71,1035.1,87.4,0
3,29,3.9,-1.2,29.1,72.56,0.0,42.1,77,1035.1,83.6,0
2,30,3.9,-1.3,29.1,71.73,0.0,37.1,73,1035.1,83.5,0
1,30,3.7,-1.6,29.9,71.51,0.0,38.2,70,1035.0,83.5,0
1,30,3.8,-1.4,28.4,71.37,0.0,36.4,77,1034.6,75.7,0
1,30,3.8,-1.3,27.8,71.58,0.0,34.9,80,1034.6,83.7,0
1,30,4.1,-0.3,22.1,73.12,0.0,34.2,78,1035.0,81.9,0
1,30,4.0,-0.8,25.1,74.21,0.0,33.1,74,1034.5,87.8,0
4,28,4.6,0.0,24.7,74.67,0.0,36.4,71,1034.3,87.8,0
8,24,4.8,0.2,25.7,72.24,0.0,36.7,80,1034.3,87.8,0
12,19,4.9,0.6,23.4,71.25,0.0,36.7,71,1034.9,87.8,0
14,17,5.0,1.0,20.8,73.93,0.0,34.2,72,1035.0,89.0,0
11,19,5.7,2.3,17.5,70.7,0.0,31.7,68,1035.1,89.0,0
6,25,5.9,1.8,24.3,74.73,0.0,31.0,73,1035.2,89.0,0
6,25,6.4,2.5,23.1,76.25,0.0,33.1,56,1035.0,87.4,1
6,26,5.9,2.1,21.3,72.39,0.0,33.1,74,1034.9,89.0,0
7,24,5.9,2.2,19.9,76.2,0.0,30.2,61,1034.5,87.8,0
4,27,5.8,2.4,17.3,76.65,0.0,31.0,40,1034.4,89.1,0
3,29,5.6,2.2,16.8,75.59,0.0,31.3,43,1034.5,88.9,0
2,30,5.2,1.9,15.9,83.33,0.0,28.8,40,1034.6,89.1,0
6,25,5.1,1.4,18.6,85.79,0.075,21.2,44,1035.0,90.3,0
9,22,5.5,2.2,16.3,80.35,0.0,26.3,54,1035.2,89.0,0
5,27,5.6,2.7,13.7,77.6,0.0,25.6,64,1035.4,79.4,0
3,28,5.6,2.4,15.5,81.26,0.0,26.6,45,1035.6,78.1,0
1,30,6.0,3.0,14.5,77.09,0.0,28.8,54,1036.1,89.0,0
0,31,6.0,3.1,14.3,76.38,0.0,29.9,50,1036.4,89.0,0
0,31,6.0,2.9,16.1,74.93,0.0,28.8,50,1036.6,89.1,0
0,31,6.0,3.1,14.6,75.68,0.0,29.9,46,1037.0,89.1,0
0,31,5.9,2.7,16.3,75.96,0.0,24.8,60,1037.1,92.2,0
0,31,6.0,2.9,16.3,80.65,0.0,23.8,74,1037.5,89.1,0
0,31,6.5,3.5,16.1,73.7,0.0,24.8,77,1038.0,89.1,0
0,31,6.5,2.9,20.8,71.43,0.0,24.5,70,1038.1,89.1,0
2,29,6.8,3.3,20.0,68.33,0.0,28.4,77,1038.5,89.1,0
3,28,6.7,3.7,15.9,72.02,0.0,31.7,77,1039.2,89.1,0
5,26,6.3,3.7,12.5,76.88,0.0,31.3,55,1039.6,89.0,0
7,23,6.1,4.1,9.8,80.63,0.0,28.8,79,1040.5,89.1,0
18,13,6.4,3.4,16.0,80.3,0.0,28.8,80,1041.1,89.1,0
21,10,7.0,4.3,14.5,73.08,0.0,27.4,77,1041.6,89.1,0
14,16,7.1,4.9,11.4,74.03,0.0,20.9,49,1042.0,89.1,1
7,24,7.2,4.2,16.5,75.2,0.0,21.2,49,1041.5,89.1,0
10,21,7.1,4.5,14.3,76.09,0.0,19.1,53,1041.4,89.1,0
7,24,6.9,4.1,14.6,78.05,0.0,18.4,36,1041.5,89.0,0
8,24,6.2,2.9,17.8,83.49,0.0,40.7,40,1042.0,89.0,0
7,25,5.9,3.0,14.6,82.95,0.0,17.3,54,1041.6,89.1,0
1,31,6.0,3.2,13.5,81.91,0.0,14.4,57,1042.1,89.1,0
1,31,6.0,3.7,11.0,81.22,0.0,14.0,57,1042.1,89.1,0
0,31,5.9,2.9,14.5,80.69,0.0,13.7,42,1042.4,89.1,0
